id_aluno,evasao,sexo,idade,estudante_nis,informou_nome_mae,informou_nome_pai,possui_deficiencia,raca_cor,tipo_localizacao_endereco_estudante,situacao_consolidada_no_ano,etapa_ensino,repetente,frequencia_escolar,notas_medias,nivel_socioeconomico,renda_familiar,trabalha,trabalho_domestico_excessivo,problemas_de_saude,violencia_domestica,gravidez_na_adolescencia,apoio_familiar,comportamento_em_sala,aceitacao_pelos_pares,necessita_assistencia_social,expectativa_retorno,fator_desencadeador_presente,distancia_da_escola_km,violencia_na_comunidade,engajamento_com_a_escola,infraestrutura_escolar,disponibilidade_material_didatico,flexibilidade_pedagogica,qualidade_pedagogica_percebida,pontuacao_risco,evasao_confirmada
1,False,Masculino,20,False,True,True,False,Indígena,Urbana,Evadido,2° EM,False,94.2,9.5,N4,441.89,False,False,False,False,False,Baixo,Bom,Média,False,Alta,False,2.6,False,Baixo,Ruim,Completa,Média,Boa,0.05485017775520566,False
2,False,Masculino,10,True,True,False,False,Parda,Rural,Aprovado,1° EM,False,98.3,7.1,N2,1516.16,False,False,False,False,False,Médio,Ruim,Baixa,False,Alta,False,2.2,True,Moderado,Regular,Completa,Alta,Regular,0.1559167089893347,False
3,False,Masculino,16,True,True,True,False,Amarela,Urbana,Aprovado,2° EM,False,90.0,6.2,N6,1013.11,True,False,False,False,True,Alto,Bom,Média,True,Alta,False,1.8,False,Moderado,Boa,Parcial,Alta,Regular,0.4130692398848823,False
4,False,Feminino,17,False,True,True,False,Preta,Urbana,Aprovado,8° EF,True,95.9,7.5,N7,2045.45,False,False,False,False,False,Alto,Bom,Alta,False,Média,False,2.7,False,Alto,Ruim,Insuficiente,Baixa,Boa,0.31708142881327234,False
5,True,Masculino,22,False,False,True,False,Branca,Urbana,Reprovado,8° EF,False,60.8,5.9,N1,479.63,False,False,False,False,False,Alto,Ruim,Alta,False,Alta,False,2.3,False,Moderado,Regular,Insuficiente,Média,Boa,0.4073133570340274,False
6,False,Feminino,19,True,True,True,False,Branca,Urbana,Aprovado,2° EM,False,77.6,6.4,N3,845.43,False,False,False,False,False,Alto,Bom,Alta,False,Alta,False,1.4,False,Baixo,Regular,Completa,Alta,Boa,0.29659725749111227,True
7,False,Masculino,10,False,True,True,False,Parda,Urbana,Aprovado,6° EF,False,52.2,5.1,N4,266.64,False,False,False,False,False,Alto,Bom,Alta,True,Alta,False,1.9,False,Alto,Boa,Completa,Alta,Boa,0.49162011173184356,True
8,False,Masculino,18,False,False,True,False,Branca,Urbana,Aprovado,1° EM,False,53.6,7.3,N2,1187.84,False,False,False,False,False,Médio,Bom,Baixa,False,Alta,False,2.9,False,Moderado,Ruim,Completa,Baixa,Ruim,0.37277805992889795,False
9,False,Masculino,15,True,True,True,False,Branca,Urbana,Aprovado,9° EF,False,86.3,6.4,N2,204.49,False,False,False,False,False,Médio,Ruim,Alta,True,Média,False,2.0,False,Alto,Boa,Completa,Alta,Boa,0.25241239207719657,False
10,False,Masculino,12,False,True,True,False,Parda,Urbana,Reprovado,3° EM,False,63.1,5.4,N6,736.43,False,False,False,False,False,Alto,Ruim,Média,False,Alta,False,2.5,False,Alto,Boa,Completa,Baixa,Ruim,0.4210259014728288,False
